##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:48
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/7147.diptera.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/7147.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:55
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/7147.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:49
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	7165.AGAP010314-PA 7227.FBpp0070181
NOG04001:	7165.AGAP012485-PA 7227.FBpp0081405
NOG04002:	7165.AGAP004030-PA 7227.FBpp0081988
NOG04003:	7227.FBpp0079172 7165.AGAP008423-PA
NOG04004:	7227.FBpp0085372 7165.AGAP009586-PA
NOG04005:	7227.FBpp0079350 7165.AGAP002155-PA
NOG04006:	7165.AGAP004774-PA 7227.FBpp0088193
NOG04007:	7165.AGAP003027-PA 7227.FBpp0070005
NOG04008:	7227.FBpp0087117 7227.FBpp0076968 7227.FBpp0085332 7227.FBpp0087100 7165.AGAP010961-PA
NOG04009:	7165.AGAP003012-PA 7227.FBpp0099481
NOG04010:	7227.FBpp0080114 7165.AGAP008906-PA
NOG04011:	7165.AGAP005445-PA 7227.FBpp0304252
NOG04012:	7165.AGAP005719-PA 7227.FBpp0113081
NOG04013:	7227.FBpp0082705 7165.AGAP003798-PA
NOG04014:	7165.AGAP009518-PA 7227.FBpp0077109
NOG04015:	7165.AGAP005781-PA 7227.FBpp0075815
NOG04016:	7227.FBpp0303089 7165.AGAP007136-PA
NOG04017:	7165.AGAP006535-PA 7227.FBpp0076386
NOG04018:	7227.FBpp0084911 7165.AGAP005273-PA
NOG04019:	7165.AGAP005393-PA 7227.FBpp0085458
NOG04020:	7227.FBpp0292538 7165.AGAP003128-PA
NOG04021:	7227.FBpp0304068 7165.AGAP007970-PA
NOG04022:	7165.AGAP011946-PA 7227.FBpp0077885
NOG04023:	7227.FBpp0076651 7165.AGAP006025-PA
NOG04024:	7165.AGAP004635-PA 7165.AGAP013218-PA 7227.FBpp0084970 7227.FBpp0088515
NOG04025:	7165.AGAP012953-PA 7227.FBpp0071071 7165.AGAP000275-PA
NOG04026:	7227.FBpp0085478 7165.AGAP005699-PA
NOG04027:	7227.FBpp0072781 7165.AGAP005814-PA
NOG04028:	7165.AGAP009048-PA 7227.FBpp0088810
NOG04029:	7165.AGAP001608-PA 7227.FBpp0071749
NOG04030:	7227.FBpp0303019 7165.AGAP008766-PA 7165.AGAP008767-PA
NOG04031:	7165.AGAP009795-PA 7227.FBpp0289652
NOG04032:	7227.FBpp0112979 7165.AGAP000637-PA
NOG04033:	7227.FBpp0075139 7165.AGAP006952-PA
NOG04034:	7227.FBpp0088511 7165.AGAP012244-PA
NOG04035:	7227.FBpp0291385 7165.AGAP000073-PA
NOG04036:	7165.AGAP004322-PA 7227.FBpp0076918
NOG04037:	7227.FBpp0076939 7165.AGAP000013-PA
NOG04038:	7165.AGAP003576-PA 7227.FBpp0077399
NOG04039:	7165.AGAP009809-PA 7227.FBpp0078917
NOG04040:	7227.FBpp0070639 7165.AGAP000826-PA
NOG04041:	7165.AGAP000220-PA 7227.FBpp0082813
NOG04042:	7227.FBpp0302975 7165.AGAP001469-PA
NOG04043:	7165.AGAP012129-PA 7227.FBpp0291478
NOG04044:	7227.FBpp0080297 7165.AGAP007941-PA
NOG04045:	7227.FBpp0303257 7165.AGAP000731-PA
NOG04046:	7165.AGAP011299-PA 7227.FBpp0070812
NOG04047:	7165.AGAP004945-PA 7227.FBpp0075940
NOG04048:	7165.AGAP003884-PB 7227.FBpp0084785
NOG04049:	7227.FBpp0289212 7165.AGAP000418-PA
NOG04050:	7165.AGAP011804-PA 7227.FBpp0084779
NOG04051:	7227.FBpp0305302 7165.AGAP009310-PA
NOG04052:	7227.FBpp0086719 7165.AGAP011828-PA
NOG04053:	7227.FBpp0077582 7165.AGAP013759-PA
NOG04054:	7227.FBpp0083696 7165.AGAP003502-PA
NOG04055:	7165.AGAP008755-PA 7227.FBpp0297142
NOG04056:	7165.AGAP002986-PA 7227.FBpp0113099
NOG04057:	7165.AGAP002199-PA 7227.FBpp0302733
NOG04058:	7227.FBpp0070638 7165.AGAP007566-PA
NOG04059:	7165.AGAP005411-PA 7227.FBpp0289142
NOG04060:	7165.AGAP005239-PA 7227.FBpp0086651 7227.FBpp0086650
NOG04061:	7227.FBpp0082787 7165.AGAP002759-PA
NOG04062:	7165.AGAP009548-PA 7227.FBpp0302957 7165.AGAP012655-PA
NOG04063:	7165.AGAP006943-PA 7227.FBpp0075085
NOG04064:	7227.FBpp0293091 7165.AGAP003449-PA
NOG04065:	7227.FBpp0306043 7165.AGAP002250-PA
NOG04066:	7165.AGAP006989-PA 7227.FBpp0086041
NOG04067:	7165.AGAP005508-PA 7227.FBpp0291734
NOG04068:	7227.FBpp0075500 7165.AGAP001308-PA
NOG04069:	7165.AGAP000203-PA 7227.FBpp0288937
NOG04070:	7165.AGAP002982-PA 7227.FBpp0293235
