##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:52
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/68525.deproteobacteria.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/68525.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:55
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/68525.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:52
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG00001:	192222.Cj0023 882.DVU2942 85962.HP1112
NOG00002:	85962.HP0319 882.DVU1248 192222.Cj1175c
NOG00003:	882.DVU1278 85962.HP1069 192222.Cj1116c
NOG00004:	882.DVU0310 85962.HP1420 192222.Cj0195
NOG00005:	882.DVU2110 192222.Cj0076c 882.DVU3284 85962.HP0141 85962.HP0140
NOG00006:	85962.HP1422 192222.Cj1061c 882.DVU1927
NOG00007:	192222.Cj0105 85962.HP1134 882.DVU0777
NOG00008:	882.DVU0953 85962.HP0774 192222.Cj1271c
NOG00009:	882.DVU0856 85962.HP0163 192222.Cj0995c
NOG00010:	85962.HP0355 882.DVU0703 192222.Cj1030c
NOG00011:	192222.Cj1248 882.DVU1043 85962.HP0409
NOG00012:	192222.Cj0775c 85962.HP1153 882.DVU0732
NOG00013:	192222.Cj0897c 882.DVU2534 85962.HP0403
NOG00014:	192222.Cj1267c 882.DVU1921 85962.HP0631 882.DVU2525
NOG00015:	192222.Cj1156 882.DVU1571 85962.HP0550
NOG00016:	85962.HP0509 882.DVU3027 192222.Cj1213c
NOG00017:	192222.Cj1091c 882.DVU1196 85962.HP1547
NOG00018:	882.DVU2336 192222.Cj0511 85962.HP1350
NOG00019:	192222.Cj0942c 85962.HP0786 882.DVU0825
NOG00020:	882.DVU1819 85962.HP1550 192222.Cj1093c
NOG00021:	85962.HP0392 192222.Cj0284c 882.DVU2072
NOG00022:	192222.Cj0640c 85962.HP0617 882.DVU3367
NOG00023:	882.DVU1605 85962.HP1114 192222.Cj0680c
NOG00024:	192222.Cj1058c 882.DVU1044 85962.HP0829
NOG00025:	192222.Cj0470 85962.HP1205 882.DVU2920
NOG00026:	882.DVU1623 192222.Cj0027 85962.HP0349
NOG00027:	85962.HP0075 882.DVU1282 192222.Cj0360
NOG00028:	85962.HP1213 882.DVU0503 192222.Cj1253
NOG00029:	192222.Cj1704c 85962.HP1316 882.DVU1306
NOG00030:	192222.Cj1197c 85962.HP0658 882.DVU1885
NOG00031:	882.DVU0003 85962.HP0501 192222.Cj0003
NOG00032:	85962.HP0088 192222.Cj1001 882.DVU1788
NOG00033:	192222.Cj1672c 85962.HP0154 882.DVU0322
NOG00034:	882.DVU1861 192222.Cj1455 85962.HP0171
NOG00035:	882.DVU1579 192222.Cj0802 85962.HP0886
NOG00036:	85962.HP0742 192222.Cj0918c 882.DVU1575
NOG00037:	882.DVU1898 192222.Cj0704 85962.HP0960
NOG00038:	882.DVU0080 85962.HP1325 192222.Cj1364c
NOG00039:	882.DVU2643 192222.Cj0518 85962.HP0210
NOG00040:	192222.Cj1369 882.DVU2113 85962.HP1175
NOG00041:	85962.HP0354 192222.Cj0321 882.DVU1350
NOG00042:	192222.Cj0136 882.DVU0508 85962.HP1048
NOG00043:	85962.HP1379 882.DVU1337 882.DVU1191 192222.Cj1073c
NOG00044:	85962.HP0974 882.DVU1619 192222.Cj0434
NOG00045:	882.DVU1467 85962.HP0516 192222.Cj0662c
NOG00046:	85962.HP0632 882.DVU1922 192222.Cj1266c 882.DVU2526
NOG00047:	882.DVU2083 85962.HP0775 192222.Cj1272c
NOG00048:	85962.HP1072 882.DVU2324 192222.Cj1161c
NOG00049:	882.DVU1378 192222.Cj0632 85962.HP0330
NOG00050:	882.DVU2529 85962.HP1345 192222.Cj1402c
NOG00051:	882.DVU1903 192222.Cj1085c 85962.HP1541
NOG00052:	85962.HP0399 882.DVU3150 192222.Cj0893c
NOG00053:	882.DVU1090 85962.HP0153 192222.Cj1673c
NOG00054:	192222.Cj0853c 882.DVU3168 85962.HP0306
NOG00055:	192222.Cj0509c 882.DVU1874 85962.HP0264
NOG00056:	882.DVU2969 85962.HP1045 192222.Cj1537c
NOG00057:	882.DVU3030 192222.Cj0689 85962.HP0903m
NOG00058:	192222.Cj0709 85962.HP1152 882.DVU0840
NOG00059:	85962.HP1532 192222.Cj1366c 882.DVU3156
NOG00060:	85962.HP0615 882.DVU1608 192222.Cj0586
NOG00061:	192222.Cj0401 85962.HP0182 882.DVU2376
NOG00062:	192222.Cj0039c 85962.HP0480 882.DVU2231
NOG00063:	85962.HP1460 192222.Cj0718 882.DVU1353
NOG00064:	192222.Cj1515c 85962.HP0020 882.DVU0419
NOG00065:	85962.HP0705 882.DVU1987 192222.Cj0342c
NOG00066:	882.DVU1429 85962.HP0569 192222.Cj0930
NOG00067:	192222.Cj1634c 85962.HP0663 882.DVU0894
NOG00068:	192222.Cj1645 85962.HP1088 882.DVU2530
NOG00069:	192222.Cj1494c 882.DVU3113 85962.HP1237
NOG00070:	882.DVU3258 192222.Cj0858c 85962.HP0648
NOG00071:	192222.Cj1188c 882.DVU1828 85962.HP0213
NOG00072:	882.DVU1300 85962.HP1195 192222.Cj0493
NOG00073:	882.DVU1345 192222.Cj0543 85962.HP0238
NOG00074:	85962.HP1507 192222.Cj0172c 882.DVU0418
NOG00075:	192222.Cj0762c 882.DVU3223 85962.HP0672
NOG00076:	192222.Cj1498c 882.DVU3204 85962.HP0255
NOG00077:	85962.HP1300 882.DVU1323 192222.Cj1688c
NOG00078:	85962.HP0220 192222.Cj0240c 882.DVU0664
NOG00079:	882.DVU3319 85962.HP0056 192222.Cj1503c
NOG00080:	192222.Cj0402 882.DVU1203 85962.HP0183
NOG00081:	85962.HP0033 192222.Cj1108 882.DVU1602
NOG00082:	192222.Cj0314 85962.HP0290 882.DVU1647
NOG00083:	882.DVU3195 192222.Cj1345c 85962.HP1075
NOG00084:	192222.Cj1710c 85962.HP1430 882.DVU0876
NOG00085:	882.DVU2757 85962.HP0656 192222.Cj0462
NOG00086:	882.DVU3067 192222.Cj0622 85962.HP0048
NOG00087:	882.DVU3232 192222.Cj0882c 85962.HP1041
NOG00088:	882.DVU0786 192222.Cj0652 85962.HP1565
NOG00089:	882.DVU0808 85962.HP0830 192222.Cj1059c
NOG00090:	882.DVU3048 192222.Cj1023c 85962.HP1189
NOG00091:	192222.Cj1205c 882.DVU1590 85962.HP0223
NOG00092:	882.DVU2552 192222.Cj1288c 85962.HP0476
NOG00093:	85962.HP0116 192222.Cj1686c 882.DVU3389
NOG00094:	85962.HP0077 882.DVU2914 192222.Cj1612
NOG00095:	85962.HP0417 882.DVU2055 192222.Cj0838c
NOG00096:	882.DVU0417 85962.HP0422 192222.Cj0764c
NOG00097:	192222.Cj1362 882.DVU2255 85962.HP1059
NOG00098:	192222.Cj1221 882.DVU1976 85962.HP0010
NOG00099:	192222.Cj0442 882.DVU1204 85962.HP0558
NOG00100:	882.DVU0004 192222.Cj1027c 85962.HP0701
NOG00101:	85962.HP1222 882.DVU0253 192222.Cj1585c
NOG00102:	85962.HP0281 192222.Cj1010 882.DVU0726
NOG00103:	882.DVU1089 85962.HP1241 192222.Cj0506
NOG00104:	85962.HP0109 882.DVU0811 192222.Cj0759
NOG00105:	192222.Cj0279 882.DVU0162 85962.HP0919
NOG00106:	192222.Cj0107 85962.HP1132 882.DVU0775
NOG00107:	85962.HP0138 882.DVU1782 192222.Cj0074c
NOG00108:	192222.Cj0409 85962.HP0192 882.DVU3262
NOG00109:	85962.HP1082 882.DVU1671 192222.Cj0803
NOG00110:	85962.HP1373 882.DVU0789 192222.Cj0276
NOG00111:	192222.Cj0087 85962.HP0649 882.DVU1871
NOG00112:	85962.HP0123 192222.Cj0206 882.DVU2538
NOG00113:	85962.HP1374 882.DVU1336 192222.Cj0275
NOG00114:	882.DVU1667 85962.HP1090 192222.Cj0886c
NOG00115:	882.DVU1344 85962.HP0625 192222.Cj0686
NOG00116:	192222.Cj0582 85962.HP1229 882.DVU1913
NOG00117:	192222.Cj0389 882.DVU0237 85962.HP1480
NOG00118:	882.DVU1335 85962.HP0794 192222.Cj0192c
NOG00119:	85962.HP0269 882.DVU0984 192222.Cj0458c
NOG00120:	882.DVU1890 85962.HP0237 192222.Cj0545
NOG00121:	192222.Cj1157 85962.HP0717 882.DVU3198
NOG00122:	85962.HP1313 882.DVU1309 192222.Cj1701c
NOG00123:	192222.Cj0075c 85962.HP0139 882.DVU1783
NOG00124:	192222.Cj0536 882.DVU1945 85962.HP0589
NOG00125:	85962.HP1554 192222.Cj1182c 882.DVU0874
NOG00126:	192222.Cj0855 882.DVU0323 85962.HP0577
NOG00127:	192222.Cj1403c 882.DVU0565 882.DVU2144 85962.HP1346
NOG00128:	882.DVU3381 882.DVU1419 882.DVU2934 85962.HP0703 882.DVU0110 882.DVU3220 192222.Cj1024c 882.DVU2114 882.DVU0118
NOG00129:	192222.Cj1234 85962.HP0972 882.DVU1897
NOG00130:	192222.Cj0149c 882.DVU0890 85962.HP0822
NOG00131:	882.DVU2064 192222.Cj1270c 85962.HP0773
NOG00132:	192222.Cj0329c 882.DVU1208 85962.HP0201
NOG00133:	882.DVU2507 85962.HP0493 192222.Cj0433c
NOG00134:	85962.HP0202 882.DVU1207 192222.Cj0328c
NOG00135:	882.DVU0513 85962.HP1585 192222.Cj0698
NOG00136:	192222.Cj0410 882.DVU3263 85962.HP0191
NOG00137:	85962.HP0760 882.DVU2671 192222.Cj1209
NOG00138:	882.DVU0496 192222.Cj0338c 85962.HP1470
NOG00139:	85962.HP0687 882.DVU2571 192222.Cj1398
NOG00140:	882.DVU2559 85962.HP0976 192222.Cj0307
NOG00141:	192222.Cj0198c 882.DVU1686 85962.HP1026
