##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:52
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/418101.plasmodia.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/418101.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:54
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/418101.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:52
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	352914.XP_725878.1 5821.PBANKA_122380
NOG04001:	5821.PBANKA_081180 352914.XP_727389.1
NOG04002:	5821.PBANKA_131540 352914.XP_729407.1
NOG04003:	352914.XP_727426.1 5821.PBANKA_144140
NOG04004:	5821.PBANKA_071210 352914.XP_724048.1
NOG04005:	5821.PBANKA_101860 352914.XP_725561.1
NOG04006:	352914.XP_726726.1 5821.PBANKA_134560
NOG04007:	5821.PBANKA_060720 352914.XP_727245.1
NOG04008:	5821.PBANKA_130820 352914.XP_729473.1
NOG04009:	5821.PBANKA_041250 352914.XP_728110.1
NOG04010:	352914.XP_724970.1 5821.PBANKA_112570
NOG04011:	5821.PBANKA_080440 352914.XP_728674.1
NOG04012:	352914.XP_723716.1 5821.PBANKA_092060
NOG04013:	5821.PBANKA_103160 352914.XP_724279.1
NOG04014:	352914.XP_725336.1 5821.PBANKA_140390
NOG04015:	352914.XP_725562.1 5821.PBANKA_080830
NOG04016:	5821.PBANKA_051050 352914.XP_728398.1
NOG04017:	5821.PBANKA_112940 352914.XP_724828.1
NOG04018:	352914.XP_726496.1 5821.PBANKA_093380
NOG04019:	5821.PBANKA_134480 352914.XP_729486.1
NOG04020:	352914.XP_731156.1 5821.PBANKA_083130
NOG04021:	352914.XP_726977.1 5821.PBANKA_131400
NOG04022:	5821.PBANKA_010960 352914.XP_731085.1
NOG04023:	352914.XP_727296.1 5821.PBANKA_050040 352914.XP_731435.1 5821.PBANKA_090020 352914.XP_730909.1 352914.XP_729819.1
NOG04024:	5821.PBANKA_135070 352914.XP_726865.1
NOG04025:	352914.XP_729400.1 5821.PBANKA_123290
NOG04026:	352914.XP_729123.1 5821.PBANKA_132860
NOG04027:	352914.XP_728811.1 5821.PBANKA_144830
NOG04028:	352914.XP_730699.1 5821.PBANKA_114070
NOG04029:	5821.PBANKA_020880 352914.XP_728968.1
NOG04030:	352914.XP_724159.1 5821.PBANKA_031050
NOG04031:	5821.PBANKA_120340 352914.XP_730937.1
NOG04032:	352914.XP_723877.1 5821.PBANKA_070960
NOG04033:	352914.XP_728014.1 5821.PBANKA_081950
NOG04034:	5821.PBANKA_143900 352914.XP_731295.1
NOG04035:	352914.XP_729351.1 5821.PBANKA_123880
NOG04036:	352914.XP_730832.1 5821.PBANKA_144330
NOG04037:	5821.PBANKA_132510 352914.XP_724395.1
NOG04038:	352914.XP_727825.1 5821.PBANKA_136400
NOG04039:	5821.PBANKA_100510 352914.XP_728578.1
NOG04040:	352914.XP_727914.1 5821.PBANKA_135200
NOG04041:	352914.XP_727532.1 5821.PBANKA_052100
NOG04042:	352914.XP_725259.1 5821.PBANKA_113180
NOG04043:	5821.PBANKA_122300 352914.XP_724448.1
NOG04044:	5821.PBANKA_135780 352914.XP_725497.1
NOG04045:	352914.XP_731148.1 5821.PBANKA_135520
NOG04046:	352914.XP_724481.1 5821.PBANKA_100650
NOG04047:	352914.XP_728976.1 5821.PBANKA_031320
NOG04048:	5821.PBANKA_100670 352914.XP_724350.1
NOG04049:	352914.XP_728007.1 5821.PBANKA_120600
NOG04050:	5821.PBANKA_110760 352914.XP_730658.1
NOG04051:	352914.XP_725673.1 5821.PBANKA_110830
NOG04052:	352914.XP_729201.1 5821.PBANKA_100030
NOG04053:	352914.XP_726568.1 5821.PBANKA_031180
NOG04054:	352914.XP_728804.1 5821.PBANKA_031250
NOG04055:	5821.PBANKA_136560 352914.XP_728127.1
NOG04056:	5821.PBANKA_142810 352914.XP_727626.1
NOG04057:	5821.PBANKA_112280 352914.XP_727229.1
NOG04058:	352914.XP_730145.1 5821.PBANKA_143140
NOG04059:	352914.XP_727492.1 5821.PBANKA_121170
NOG04060:	5821.PBANKA_131150 352914.XP_726572.1
NOG04061:	5821.PBANKA_100720 352914.XP_724343.1
NOG04062:	352914.XP_729611.1 5821.PBANKA_143210
NOG04063:	5821.PBANKA_102410 352914.XP_723742.1
NOG04064:	5821.PBANKA_031390 352914.XP_726537.1
NOG04065:	352914.XP_727386.1 5821.PBANKA_081200
NOG04066:	5821.PBANKA_100220 352914.XP_729078.1
NOG04067:	5821.PBANKA_010640 352914.XP_725222.1
NOG04068:	5821.PBANKA_114020 352914.XP_727269.1
NOG04069:	352914.XP_730850.1 5821.PBANKA_146220
NOG04070:	352914.XP_727279.1 5821.PBANKA_120420
NOG04071:	5821.PBANKA_101670 352914.XP_727570.1
NOG04072:	5821.PBANKA_136550 352914.XP_725858.1
NOG04073:	5821.PBANKA_090330 352914.XP_730496.1
NOG04074:	5821.PBANKA_146300 352914.XP_725341.1
NOG04075:	352914.XP_727094.1 5821.PBANKA_092350
NOG04076:	5821.PBANKA_111230 352914.XP_724926.1
NOG04077:	352914.XP_728853.1 5821.PBANKA_050930
NOG04078:	5821.PBANKA_144070 352914.XP_729708.1
NOG04079:	5821.PBANKA_130250 352914.XP_726152.1
NOG04080:	352914.XP_725061.1 5821.PBANKA_143310
NOG04081:	352914.XP_728069.1 5821.PBANKA_080610
NOG04082:	5821.PBANKA_041080 352914.XP_724820.1
NOG04083:	352914.XP_726878.1 5821.PBANKA_112890
NOG04084:	5821.PBANKA_071660 352914.XP_730071.1
NOG04085:	352914.XP_723815.1 5821.PBANKA_091640
NOG04086:	5821.PBANKA_120490 352914.XP_731145.1
NOG04087:	5821.PBANKA_010020 352914.XP_726738.1
NOG04088:	5821.PBANKA_071960 352914.XP_724845.1
NOG04089:	5821.PBANKA_111750 352914.XP_731377.1
NOG04090:	352914.XP_725103.1 5821.PBANKA_051450
NOG04091:	352914.XP_729776.1 5821.PBANKA_031210
NOG04092:	5821.PBANKA_124460 352914.XP_729618.1
NOG04093:	5821.PBANKA_110740 352914.XP_730656.1
NOG04094:	352914.XP_726475.1 5821.PBANKA_060550
NOG04095:	5821.PBANKA_041350 352914.XP_726502.1
NOG04096:	5821.PBANKA_136440 352914.XP_724044.1
NOG04097:	352914.XP_726277.1 5821.PBANKA_050050 352914.XP_725135.1 352914.XP_730795.1 5821.PBANKA_000060 352914.XP_724316.1 352914.XP_727369.1 5821.PBANKA_000600 352914.XP_728394.1 352914.XP_729808.1 5821.PBANKA_000310
NOG04098:	5821.PBANKA_130160 352914.XP_730651.1
NOG04099:	352914.XP_723631.1 5821.PBANKA_121100
NOG04100:	352914.XP_730264.1 5821.PBANKA_144860
NOG04101:	352914.XP_727745.1 5821.PBANKA_136370
NOG04102:	352914.XP_729116.1 5821.PBANKA_103870
NOG04103:	352914.XP_724993.1 5821.PBANKA_110270
NOG04104:	5821.PBANKA_144880 352914.XP_723949.1
NOG04105:	352914.XP_730200.1 5821.PBANKA_112420
NOG04106:	5821.PBANKA_030900 352914.XP_723723.1
NOG04107:	352914.XP_724275.1 5821.PBANKA_071740
NOG04108:	352914.XP_724666.1 5821.PBANKA_141310
NOG04109:	352914.XP_729420.1 5821.PBANKA_103110
NOG04110:	352914.XP_730392.1 5821.PBANKA_135890
NOG04111:	352914.XP_725448.1 5821.PBANKA_093850
NOG04112:	352914.XP_731343.1 5821.PBANKA_062220
NOG04113:	352914.XP_730991.1 5821.PBANKA_070990
NOG04114:	352914.XP_731073.1 5821.PBANKA_140810
NOG04115:	352914.XP_725667.1 5821.PBANKA_111630
NOG04116:	5821.PBANKA_141790 352914.XP_726895.1
NOG04117:	352914.XP_725859.1 5821.PBANKA_135720
NOG04118:	5821.PBANKA_050330 352914.XP_724289.1
NOG04119:	5821.PBANKA_130390 352914.XP_724581.1
NOG04120:	352914.XP_726101.1 5821.PBANKA_091770
NOG04121:	352914.XP_729604.1 5821.PBANKA_143450
NOG04122:	5821.PBANKA_030170 352914.XP_729478.1
NOG04123:	352914.XP_725702.1 5821.PBANKA_103460
NOG04124:	5821.PBANKA_132040 352914.XP_730252.1
NOG04125:	352914.XP_725789.1 5821.PBANKA_103230
NOG04127:	5821.PBANKA_134820 352914.XP_729960.1
NOG04128:	5821.PBANKA_070760 352914.XP_730599.1
NOG04129:	5821.PBANKA_121680 352914.XP_731363.1
NOG04130:	352914.XP_727002.1 5821.PBANKA_112720
NOG04131:	5821.PBANKA_123090 352914.XP_729426.1
NOG04132:	5821.PBANKA_092480 352914.XP_729214.1
NOG04133:	352914.XP_725801.1 5821.PBANKA_131490
NOG04134:	352914.XP_723971.1 5821.PBANKA_141150
NOG04135:	352914.XP_723979.1 5821.PBANKA_094130
NOG04136:	5821.PBANKA_143620 352914.XP_723643.1
NOG04137:	5821.PBANKA_101010 352914.XP_730457.1
NOG04138:	5821.PBANKA_103320 352914.XP_727358.1
NOG04139:	5821.PBANKA_135650 352914.XP_730903.1
NOG04140:	5821.PBANKA_010730 352914.XP_730128.1
NOG04141:	5821.PBANKA_110440 352914.XP_730721.1
NOG04142:	352914.XP_726465.1 5821.PBANKA_090400
NOG04143:	352914.XP_730734.1 5821.PBANKA_141000
NOG04144:	352914.XP_730422.1 5821.PBANKA_120760
NOG04145:	5821.PBANKA_094010 352914.XP_730712.1
NOG04146:	352914.XP_724011.1 5821.PBANKA_121300
NOG04147:	5821.PBANKA_010880 352914.XP_724814.1
NOG04148:	352914.XP_729938.1 5821.PBANKA_070640
NOG04149:	5821.PBANKA_061110 352914.XP_725597.1
NOG04150:	5821.PBANKA_120180 352914.XP_727875.1
NOG04151:	352914.XP_727932.1 5821.PBANKA_070200
NOG04152:	352914.XP_731037.1 5821.PBANKA_071100
NOG04153:	352914.XP_728210.1 5821.PBANKA_103770
NOG04154:	352914.XP_723801.1 5821.PBANKA_133390
NOG04155:	352914.XP_727035.1 5821.PBANKA_041440
NOG04156:	5821.PBANKA_051210 352914.XP_730908.1
NOG04157:	5821.PBANKA_010080 352914.XP_730141.1
NOG04158:	5821.PBANKA_133830 352914.XP_729369.1
NOG04159:	5821.PBANKA_120550 352914.XP_726594.1
NOG04160:	352914.XP_725385.1 5821.PBANKA_050880
NOG04161:	352914.XP_728803.1 5821.PBANKA_031240
NOG04162:	352914.XP_723860.1 5821.PBANKA_103680
NOG04163:	352914.XP_724191.1 5821.PBANKA_040120
NOG04164:	352914.XP_729789.1 5821.PBANKA_080180
NOG04165:	5821.PBANKA_092220 352914.XP_727124.1
NOG04166:	352914.XP_728180.1 5821.PBANKA_131350
NOG04167:	352914.XP_730160.1 5821.PBANKA_060910
NOG04168:	352914.XP_728038.1 5821.PBANKA_133260
NOG04169:	5821.PBANKA_142920 352914.XP_726470.1
NOG04170:	352914.XP_730563.1 5821.PBANKA_080720
NOG04171:	5821.PBANKA_010520 352914.XP_728389.1
NOG04172:	5821.PBANKA_102710 352914.XP_723863.1
NOG04173:	5821.PBANKA_133280 352914.XP_729490.1
NOG04174:	352914.XP_726256.1 5821.PBANKA_030920
NOG04175:	5821.PBANKA_112390 352914.XP_730203.1
NOG04176:	5821.PBANKA_144150 352914.XP_727425.1
NOG04177:	5821.PBANKA_020130 352914.XP_730117.1
NOG04178:	352914.XP_725552.1 5821.PBANKA_010070
NOG04179:	352914.XP_729558.1 5821.PBANKA_132380
NOG04180:	352914.XP_729111.1 5821.PBANKA_103920
NOG04181:	5821.PBANKA_030450 352914.XP_724642.1
NOG04182:	352914.XP_731247.1 5821.PBANKA_110900
NOG04183:	5821.PBANKA_062120 352914.XP_725972.1
NOG04184:	352914.XP_724089.1 5821.PBANKA_141830
NOG04185:	352914.XP_725063.1 5821.PBANKA_143330
NOG04186:	5821.PBANKA_133130 352914.XP_725982.1
NOG04187:	5821.PBANKA_102630 352914.XP_727288.1
NOG04188:	352914.XP_724489.1 5821.PBANKA_111980
NOG04189:	5821.PBANKA_134810 352914.XP_729959.1
NOG04190:	352914.XP_729016.1 5821.PBANKA_120360
NOG04191:	352914.XP_724874.1 5821.PBANKA_135390
NOG04192:	5821.PBANKA_140910 352914.XP_730725.1
NOG04193:	352914.XP_725751.1 5821.PBANKA_100860
NOG04194:	5821.PBANKA_050560 352914.XP_730124.1
NOG04195:	352914.XP_724339.1 5821.PBANKA_100760
NOG04196:	352914.XP_724491.1 5821.PBANKA_111960
NOG04197:	5821.PBANKA_083060 352914.XP_724548.1
NOG04198:	5821.PBANKA_112350 352914.XP_726740.1
NOG04199:	352914.XP_730631.1 5821.PBANKA_091000
NOG04200:	5821.PBANKA_120730 352914.XP_729340.1
NOG04201:	5821.PBANKA_113270 352914.XP_729392.1
NOG04202:	352914.XP_731291.1 5821.PBANKA_061530
NOG04203:	352914.XP_727219.1 5821.PBANKA_141440
NOG04204:	5821.PBANKA_143610 352914.XP_725283.1
NOG04205:	5821.PBANKA_133550 352914.XP_726437.1
NOG04206:	5821.PBANKA_050480 352914.XP_724891.1
NOG04207:	352914.XP_726170.1 5821.PBANKA_122950
NOG04208:	352914.XP_725468.1 5821.PBANKA_143730
NOG04209:	352914.XP_731122.1 5821.PBANKA_051750
NOG04210:	5821.PBANKA_110980 352914.XP_724121.1
NOG04211:	5821.PBANKA_136050 352914.XP_726658.1
