##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:55
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/186826.lactobacillales.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/186826.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:46
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/186826.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:54
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	272623.L0158 160490.SPy_1200
NOG04001:	160490.SPy_1963 272623.L181494
NOG04002:	160490.SPy_0316 272623.L31280
NOG04003:	160490.SPy_0362 272623.L111484
NOG04004:	160490.SPy_0361 272623.L0120
NOG04005:	160490.SPy_1938 272623.L0330
NOG04006:	272623.L11745 160490.SPy_1637 160490.SPy_0140
NOG04007:	272623.L60596 160490.SPy_0799
NOG04008:	272623.L0012 160490.SPy_0215
NOG04009:	272623.L191431 160490.SPy_0097
NOG04010:	160490.SPy_1312 272623.L91510
NOG04011:	160490.SPy_0021 272623.L1006
NOG04012:	272623.L0207 160490.SPy_1521
NOG04013:	160490.SPy_1715 272623.L45966
NOG04014:	160490.SPy_1243 272623.L156251
NOG04015:	160490.SPy_1291 272623.L99884
NOG04016:	160490.SPy_0264 272623.L0047
NOG04017:	160490.SPy_1038 272623.L35068
NOG04018:	160490.SPy_1736 272623.L171588
NOG04019:	160490.SPy_1536 272623.L20937
NOG04020:	272623.L0409 160490.SPy_1932
NOG04021:	272623.L0212 160490.SPy_1763
NOG04022:	160490.SPy_1644 272623.L100263
NOG04023:	160490.SPy_1904 272623.L0308
NOG04024:	272623.L61727 160490.SPy_1020
NOG04025:	160490.SPy_1242 272623.L155408
NOG04026:	272623.L22900 160490.SPy_0306
NOG04027:	272623.L175538 160490.SPy_0392
NOG04028:	272623.L109335 160490.SPy_1123
NOG04029:	160490.SPy_0933 272623.L197041
NOG04030:	160490.SPy_0236 272623.L0303
NOG04031:	272623.L0380 160490.SPy_0056
NOG04032:	272623.L164012 160490.SPy_1657
NOG04033:	160490.SPy_1105 272623.L178329
NOG04034:	160490.SPy_1399 272623.L14408
NOG04035:	272623.L173813 160490.SPy_1724
NOG04036:	160490.SPy_0787 272623.L2599
NOG04037:	160490.SPy_0470 272623.L180241
NOG04038:	272623.L190226 160490.SPy_0516
NOG04039:	160490.SPy_0727 272623.L0283
NOG04040:	160490.SPy_1354 272623.L883
NOG04041:	160490.SPy_1513 272623.L0350
NOG04042:	272623.L181692 160490.SPy_0900
NOG04043:	272623.L13187 160490.SPy_0881
NOG04044:	272623.L49741 160490.SPy_2095
NOG04045:	272623.L113067 160490.SPy_1358
NOG04046:	272623.L1762179 160490.SPy_1738
NOG04047:	160490.SPy_1962 272623.L0356
NOG04048:	272623.L72477 160490.SPy_0184
NOG04049:	160490.SPy_0288 272623.L32195
NOG04050:	160490.SPy_2204 272623.L0261
NOG04051:	160490.SPy_1251 272623.L0328
NOG04052:	160490.SPy_0380 272623.L62663
NOG04053:	272623.L160485 160490.SPy_2059
NOG04054:	160490.SPy_1295 272623.L128696
NOG04055:	160490.SPy_1282 272623.L0003
NOG04056:	160490.SPy_1509 272623.L0221
NOG04057:	272623.L68401 160490.SPy_0464
NOG04058:	272623.L44083 160490.SPy_2190
NOG04059:	272623.L0087 160490.SPy_1944
NOG04060:	272623.L169971 160490.SPy_0121
NOG04061:	272623.L0384 160490.SPy_0272
NOG04062:	272623.L0190 160490.SPy_1743
NOG04063:	272623.L0159 160490.SPy_1053
NOG04064:	160490.SPy_1941 272623.L0348
NOG04065:	272623.L0286 160490.SPy_2182
NOG04066:	272623.L65675 160490.SPy_1134
NOG04067:	272623.L198323 160490.SPy_0935
NOG04068:	160490.SPy_1206 272623.L101706
NOG04069:	272623.L6208 160490.SPy_0233
NOG04070:	160490.SPy_2156 272623.L0346
NOG04071:	272623.L0161 160490.SPy_0006
NOG04072:	272623.L130687 160490.SPy_1651
NOG04073:	272623.L0362 160490.SPy_1628
NOG04074:	160490.SPy_0865 272623.L4747
NOG04075:	272623.L73239 160490.SPy_1025
NOG04076:	160490.SPy_0817 272623.L183112
NOG04077:	160490.SPy_1759 272623.L0272
NOG04078:	160490.SPy_1350 272623.L142310
NOG04079:	160490.SPy_1854 272623.L117074
NOG04080:	272623.L0222 160490.SPy_2073
NOG04081:	160490.SPy_0094 272623.L165709
NOG04082:	272623.L141260 160490.SPy_1627
NOG04083:	160490.SPy_0568 272623.L22687
NOG04084:	272623.L0473 160490.SPy_1771
NOG04085:	160490.SPy_1782 272623.L142722
NOG04086:	272623.L165279 160490.SPy_1227
NOG04087:	272623.L185031 160490.SPy_0855
NOG04088:	160490.SPy_0266 272623.L185224
NOG04089:	272623.L151062 160490.SPy_2184
NOG04090:	272623.L13927 160490.SPy_0807
NOG04091:	160490.SPy_1599 272623.L119614
NOG04092:	160490.SPy_0172 272623.L0181
NOG04093:	160490.SPy_2148 272623.L0277
NOG04094:	272623.L109453 160490.SPy_0510
NOG04095:	272623.L187815 160490.SPy_0263
NOG04096:	160490.SPy_2194 272623.L76755
NOG04097:	272623.L0005 160490.SPy_0274
NOG04098:	272623.L98583 160490.SPy_1493
NOG04099:	160490.SPy_0454 272623.L150744
NOG04100:	272623.L2385 160490.SPy_1316
NOG04101:	160490.SPy_0653 272623.L189428
NOG04102:	272623.L147466 160490.SPy_1740
NOG04103:	272623.L80411 160490.SPy_0901
NOG04104:	160490.SPy_1844 272623.L180415
NOG04105:	160490.SPy_0471 272623.L92886
NOG04106:	272623.L93500 160490.SPy_1872
NOG04107:	160490.SPy_0570 272623.L180636
NOG04108:	272623.L193909 160490.SPy_0115
NOG04109:	272623.L157144 160490.SPy_1244
NOG04110:	272623.L0186 160490.SPy_1748
NOG04111:	160490.SPy_1237 272623.L0135
NOG04112:	272623.L0138 160490.SPy_0099
NOG04113:	272623.L32666 160490.SPy_2199
NOG04114:	160490.SPy_0720 272623.L141547
NOG04115:	160490.SPy_1544 272623.L0109
NOG04116:	272623.L121426 160490.SPy_0574
NOG04117:	272623.L0354 160490.SPy_0768
NOG04118:	160490.SPy_1750 272623.L0184
NOG04119:	272623.L183602 160490.SPy_1965
NOG04120:	272623.L0360 160490.SPy_1688
NOG04121:	160490.SPy_2063 272623.L164789
NOG04122:	160490.SPy_1603 272623.L133416
NOG04123:	160490.SPy_1889 272623.L0009
NOG04124:	272623.L0284 160490.SPy_0649
NOG04125:	160490.SPy_0073 272623.L0333
NOG04126:	160490.SPy_1689 272623.L101560
NOG04127:	272623.L0237 160490.SPy_1525
NOG04128:	160490.SPy_1841 272623.L132875
NOG04129:	272623.L3227 160490.SPy_1110
NOG04130:	272623.L154925 160490.SPy_0890
NOG04131:	160490.SPy_1810 272623.L179409
NOG04132:	272623.L178206 160490.SPy_1760
NOG04133:	272623.L0349 160490.SPy_0239
NOG04134:	160490.SPy_0595 272623.L0347
NOG04135:	160490.SPy_0292 272623.L139168 160490.SPy_1093
NOG04136:	272623.L0352 160490.SPy_0173
NOG04137:	160490.SPy_0340 272623.L0281
NOG04138:	272623.L0267 160490.SPy_0038
NOG04139:	160490.SPy_2153 272623.L20683 272623.L21717
NOG04140:	160490.SPy_1901 272623.L0331
NOG04141:	272623.L0293 160490.SPy_1837
NOG04142:	160490.SPy_0910 272623.L0291
NOG04143:	272623.L192589 160490.SPy_1432
NOG04144:	272623.L20847 160490.SPy_2050
NOG04145:	160490.SPy_0008 272623.L0263
NOG04146:	160490.SPy_0466 272623.L67708
NOG04147:	272623.L122222 160490.SPy_0816
NOG04148:	272623.L74738 160490.SPy_0108
NOG04149:	160490.SPy_2092 272623.L0379
NOG04150:	160490.SPy_0282 272623.L35751
NOG04151:	272623.L198056 160490.SPy_0412
NOG04152:	272623.L141766 160490.SPy_1420
NOG04153:	160490.SPy_0651 272623.L0345
NOG04154:	160490.SPy_1876 272623.L89418
NOG04155:	272623.L324 160490.SPy_0713 272623.L48417
NOG04156:	160490.SPy_1204 272623.L115968
NOG04157:	160490.SPy_1151 272623.L0017
NOG04158:	160490.SPy_0074 272623.L140714
NOG04159:	160490.SPy_1739 272623.L146623
