##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:56
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/29547.epsilonproteobacteria.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/29547.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:50
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/29547.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:55
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	85962.HP1020 192222.Cj1607
NOG04001:	85962.HP0378 192222.Cj1013c
NOG04002:	192222.Cj0632 85962.HP0330
NOG04003:	192222.Cj0076c 85962.HP0141 85962.HP0140
NOG04004:	85962.HP0714 192222.Cj0670
NOG04005:	85962.HP0392 192222.Cj0284c
NOG04006:	192222.Cj0949c 85962.HP0049
NOG04007:	192222.Cj0024 85962.HP0680
NOG04008:	85962.HP0570 192222.Cj0929
NOG04009:	85962.HP0815 192222.Cj0337c
NOG04010:	192222.Cj0190c 85962.HP0792
NOG04011:	192222.Cj0695 85962.HP0978
NOG04012:	85962.HP0098 192222.Cj0812
NOG04013:	192222.Cj0947c 85962.HP0757
NOG04014:	192222.Cj0132 85962.HP1052
NOG04015:	85962.HP0743 192222.Cj1282
NOG04016:	192222.Cj0106 85962.HP1133
NOG04017:	192222.Cj1061c 85962.HP1422
NOG04018:	192222.Cj1274c 85962.HP0777
NOG04019:	192222.Cj1605c 85962.HP0626
NOG04020:	85962.HP0013 192222.Cj1633
NOG04021:	192222.Cj0806 85962.HP1013
NOG04022:	192222.Cj0701 85962.HP0169
NOG04023:	85962.HP1010 192222.Cj1359
NOG04024:	85962.HP0153 192222.Cj1673c
NOG04025:	85962.HP0615 192222.Cj0586
NOG04026:	192222.Cj1246c 85962.HP0821
