##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:55
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/1117.cyanobacteria.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/1117.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:46
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/1117.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:54
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	449447.MAE_31170 1148.SYNGTS_0814
NOG04001:	449447.MAE_38150 1148.SYNGTS_2808
NOG04002:	449447.MAE_44510 1148.SYNGTS_2021
NOG04003:	449447.MAE_45030 1148.SYNGTS_2900
NOG04004:	1148.SYNGTS_1456 449447.MAE_32460
NOG04005:	449447.MAE_42990 1148.SYNGTS_0427
NOG04006:	449447.MAE_07170 1148.SYNGTS_1086
NOG04007:	449447.MAE_18660 1148.SYNGTS_1440
NOG04008:	1148.SYNGTS_1834 449447.MAE_22160
NOG04009:	449447.MAE_37850 1148.SYNGTS_2283
NOG04010:	1148.SYNGTS_2320 449447.MAE_46980
NOG04011:	1148.SYNGTS_1540 449447.MAE_03840
NOG04012:	449447.MAE_08280 1148.SYNGTS_1968
NOG04013:	1148.SYNGTS_1628 449447.MAE_21590
NOG04014:	1148.SYNGTS_1225 449447.MAE_22890
NOG04015:	1148.SYNGTS_2814 449447.MAE_55450
NOG04016:	449447.MAE_46280 1148.SYNGTS_0047
NOG04017:	449447.MAE_38450 1148.SYNGTS_1884
NOG04018:	449447.MAE_53960 1148.SYNGTS_0914
NOG04019:	1148.SYNGTS_3022 449447.MAE_11250
NOG04020:	449447.MAE_42970 1148.SYNGTS_2613
NOG04021:	449447.MAE_18160 1148.SYNGTS_0799
NOG04022:	1148.SYNGTS_1615 449447.MAE_24490
NOG04023:	449447.MAE_18910 1148.SYNGTS_1613
NOG04024:	1148.SYNGTS_2536 449447.MAE_59220
NOG04025:	1148.SYNGTS_0401 449447.MAE_08580
NOG04026:	449447.MAE_21690 1148.SYNGTS_1511
NOG04027:	1148.SYNGTS_1356 449447.MAE_53250
NOG04028:	1148.SYNGTS_0197 449447.MAE_47910
NOG04029:	1148.SYNGTS_1677 449447.MAE_40920
NOG04030:	1148.SYNGTS_0618 449447.MAE_26670
NOG04031:	449447.MAE_53710 1148.SYNGTS_0252
NOG04032:	1148.SYNGTS_2918 449447.MAE_62520
NOG04033:	1148.SYNGTS_1998 449447.MAE_45240
NOG04034:	1148.SYNGTS_1032 449447.MAE_51250
NOG04035:	1148.SYNGTS_3043 449447.MAE_35090
NOG04036:	449447.MAE_29940 1148.SYNGTS_0778
NOG04037:	1148.SYNGTS_3154 449447.MAE_56720
NOG04038:	449447.MAE_62650 1148.SYNGTS_0514
NOG04039:	449447.MAE_52640 1148.SYNGTS_2592
NOG04040:	1148.SYNGTS_2061 449447.MAE_56890
NOG04041:	449447.MAE_44870 1148.SYNGTS_1804
NOG04042:	449447.MAE_62570 1148.SYNGTS_0637
NOG04043:	449447.MAE_53410 1148.SYNGTS_3120
NOG04044:	449447.MAE_31130 1148.SYNGTS_0477
NOG04045:	449447.MAE_12720 1148.SYNGTS_3132
NOG04046:	1148.SYNGTS_2853 449447.MAE_60380
NOG04047:	1148.SYNGTS_1000 449447.MAE_27980
NOG04048:	1148.SYNGTS_0654 449447.MAE_24480
NOG04049:	449447.MAE_06550 1148.SYNGTS_1328
NOG04050:	449447.MAE_00320 1148.SYNGTS_2596
NOG04051:	1148.SYNGTS_2503 449447.MAE_18260
NOG04052:	449447.MAE_39100 1148.SYNGTS_2828
NOG04053:	1148.SYNGTS_2669 449447.MAE_40010
NOG04054:	449447.MAE_23150 1148.SYNGTS_1751
NOG04055:	449447.MAE_00040 1148.SYNGTS_1788
NOG04056:	449447.MAE_49510 1148.SYNGTS_0289
NOG04057:	449447.MAE_13000 1148.SYNGTS_3098
NOG04058:	449447.MAE_52260 1148.SYNGTS_1363
NOG04059:	449447.MAE_21650 1148.SYNGTS_0521
NOG04060:	1148.SYNGTS_2833 449447.MAE_30470
NOG04061:	1148.SYNGTS_1088 449447.MAE_08410
NOG04062:	1148.SYNGTS_2515 449447.MAE_06840
NOG04063:	1148.SYNGTS_2030 449447.MAE_38400
NOG04064:	449447.MAE_04410 1148.SYNGTS_2881
NOG04065:	1148.SYNGTS_0188 449447.MAE_23590
NOG04066:	449447.MAE_54300 1148.SYNGTS_0936
NOG04067:	449447.MAE_02170 1148.SYNGTS_1838
NOG04068:	449447.MAE_20800 1148.SYNGTS_2432
NOG04069:	449447.MAE_31330 1148.SYNGTS_0381
NOG04070:	1148.SYNGTS_0296 449447.MAE_20980
NOG04071:	1148.SYNGTS_1748 449447.MAE_42780
NOG04072:	449447.MAE_48330 1148.SYNGTS_0542
NOG04073:	1148.SYNGTS_0737 449447.MAE_14960
NOG04074:	449447.MAE_25290 1148.SYNGTS_2526
NOG04075:	1148.SYNGTS_1653 449447.MAE_06370
NOG04076:	449447.MAE_45780 1148.SYNGTS_0211
NOG04077:	449447.MAE_53680 1148.SYNGTS_1731
