##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:56
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/2157.archaea.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/2157.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:49
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/2157.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:55
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	593117.TGAM_0750 64091.VNG1305G
NOG04001:	64091.VNG2616G 593117.TGAM_0186
NOG04002:	64091.VNG1352G 593117.TGAM_0920
NOG04003:	64091.VNG1297C 593117.TGAM_0577
NOG04004:	64091.VNG0893G 593117.TGAM_1725
NOG04005:	593117.TGAM_0146 64091.VNG2139G
NOG04006:	593117.TGAM_1638 64091.VNG2462G
NOG04007:	64091.VNG0864G 593117.TGAM_0756
NOG04008:	593117.TGAM_0691 64091.VNG0504G
NOG04009:	64091.VNG0510G 64091.VNG2000G 593117.TGAM_1408
NOG04010:	64091.VNG1508C 593117.TGAM_1713
NOG04011:	593117.TGAM_1150 64091.VNG2505G
NOG04012:	64091.VNG1149Cm 593117.TGAM_1827
NOG04013:	64091.VNG2093G 593117.TGAM_0338
NOG04014:	593117.TGAM_1397 64091.VNG2654Gm
NOG04015:	64091.VNG0715G 593117.TGAM_1269
NOG04016:	593117.TGAM_1511 64091.VNG0326G
NOG04017:	64091.VNG0086Gm 593117.TGAM_1944
NOG04018:	64091.VNG0406C 593117.TGAM_1402
NOG04019:	64091.VNG0983C 64091.VNG0650C 593117.TGAM_0578
NOG04020:	593117.TGAM_0775 64091.VNG2128C
NOG04021:	593117.TGAM_0468 64091.VNG0303G
NOG04022:	64091.VNG2352G 593117.TGAM_1737
NOG04023:	64091.VNG2397G 593117.TGAM_1705
NOG04024:	64091.VNG2249G 593117.TGAM_0137
NOG04025:	64091.VNG0881G 593117.TGAM_1718
NOG04026:	64091.VNG0006G 593117.TGAM_0936
NOG04027:	593117.TGAM_1871 64091.VNG1997G
NOG04028:	64091.VNG2612G 593117.TGAM_1139
NOG04029:	64091.VNG2363Gm 593117.TGAM_0334 593117.TGAM_0873
NOG04030:	593117.TGAM_1661 64091.VNG1830G
NOG04031:	593117.TGAM_1460 64091.VNG0779C
NOG04032:	64091.VNG0734G 64091.VNG0254G 64091.VNG0869G 593117.TGAM_0475 593117.TGAM_1198 64091.VNG0315G
NOG04033:	593117.TGAM_1924 64091.VNG2662G
NOG04034:	593117.TGAM_2062 64091.VNG2280G
NOG04035:	593117.TGAM_1542 64091.VNG0949G
NOG04036:	593117.TGAM_1810 64091.VNG1435G
NOG04037:	593117.TGAM_0269 64091.VNG2611G 64091.VNG1275Gm
NOG04038:	593117.TGAM_1926 64091.VNG2665G
NOG04039:	593117.TGAM_1930 64091.VNG0674C
NOG04040:	64091.VNG2116C 593117.TGAM_0473
NOG04041:	593117.TGAM_1950 64091.VNG2459G
NOG04042:	64091.VNG0324G 593117.TGAM_1550
NOG04043:	593117.TGAM_1201 593117.TGAM_0741 593117.TGAM_0426 593117.TGAM_0218 64091.VNG0940Gm
NOG04044:	593117.TGAM_0634 64091.VNG1493G
NOG04045:	64091.VNG0452G 64091.VNG2482G 593117.TGAM_0208
NOG04046:	64091.VNG1719G 593117.TGAM_1979
NOG04047:	64091.VNG2356G 593117.TGAM_1167
NOG04048:	64091.VNG0330G 593117.TGAM_1043
NOG04049:	593117.TGAM_0310 64091.VNG2283G
NOG04050:	64091.VNG2138G 593117.TGAM_0147
NOG04051:	593117.TGAM_1505 64091.VNG1454C
NOG04052:	593117.TGAM_1331 64091.VNG0629G 593117.TGAM_1838
NOG04053:	593117.TGAM_1520 64091.VNG2251G
NOG04054:	593117.TGAM_0130 64091.VNG2473G
NOG04055:	593117.TGAM_1054 64091.VNG2649G
NOG04056:	64091.VNG0342G 593117.TGAM_1172
NOG04057:	64091.VNG2206G 593117.TGAM_0606 64091.VNG0905G 593117.TGAM_0813 593117.TGAM_2095
NOG04058:	64091.VNG2471G 593117.TGAM_1311
NOG04059:	593117.TGAM_0917 64091.VNG1844G
NOG04060:	593117.TGAM_1775 64091.VNG1153G
NOG04061:	64091.VNG2173G 593117.TGAM_0647
NOG04062:	593117.TGAM_0127 64091.VNG2417G
NOG04063:	64091.VNG2124C 593117.TGAM_1715
NOG04064:	64091.VNG1576G 593117.TGAM_0535
NOG04065:	64091.VNG1001G 593117.TGAM_0759
NOG04066:	593117.TGAM_1669 64091.VNG0572G
NOG04067:	64091.VNG2541Cm 593117.TGAM_0378
